BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
seattle01,iFIBER,25764,206.81.80.204,IPv4,,False,False,258
seattle01,Silverstar Telecom,32869,206.81.80.171,IPv4,,False,False,259
seattle01,Silverstar Telecom,32869,2001:504:16::8065,IPv6,,False,False,260
seattle01,Riot Games,6507,206.81.81.42,IPv4,,False,False,261
seattle01,WA Broadband,19116,206.81.81.44,IPv4,,False,False,262
seattle01,WA Broadband,19116,2001:504:16::4aac,IPv6,,False,False,263
seattle01,Wiktel,33362,206.81.81.141,IPv4,,False,False,268
seattle01,Wiktel,33362,2001:504:16::8252,IPv6,,False,False,269
seattle01,iovation,53708,206.81.80.192,IPv4,,False,False,270
seattle01,iovation,53708,2001:504:16::d1cc,IPv6,,False,False,271
seattle01,DALnet,31800,206.81.80.101,IPv4,,False,False,274
seattle01,Netflix,2906,206.81.80.222,IPv4,,False,False,277
seattle01,Netflix,2906,2001:504:16::b5a,IPv6,,False,False,278
seattle01,Netflix,2906,206.81.80.223,IPv4,,False,False,279
seattle01,Netflix,2906,2001:504:16::223:0:b5a,IPv6,,False,False,280
seattle01,Wobscale,64241,2001:504:16::faf1,IPv6,,False,False,286
seattle01,AARNet,7575,206.81.80.112,IPv4,,False,False,287
seattle01,AARNet,7575,2001:504:16::1d97,IPv6,,False,False,288
seattle01,Stargate,19171,206.81.81.15,IPv4,,False,False,311
seattle01,Stargate,19171,2001:504:16::4ae3,IPv6,,False,False,312
seattle01,Inland Networks,26088,206.81.80.165,IPv4,,False,False,313
seattle01,Automattic,2635,206.81.81.70,IPv4,,False,False,320
seattle01,Automattic,2635,2001:504:16::a4b,IPv6,,False,False,321
seattle01,Zscaler,22616,206.81.81.179,IPv4,,False,False,322
seattle01,Zscaler,22616,206.81.81.180,IPv4,,False,False,323
seattle01,Fiber Internet Center,26803,206.81.80.172,IPv4,,False,False,324
seattle01,Rainier Connect,20394,206.81.80.186,IPv4,,False,False,325
seattle01,Rainier Connect,20394,2001:504:16::4faa,IPv6,,False,False,326
seattle01,SkyFiber Internet,32212,206.81.81.173,IPv4,,False,False,334
seattle01,SkyFiber Internet,32212,2001:504:16::7dd4,IPv6,,False,False,335
seattle01,Symantec,27471,206.81.81.169,IPv4,,False,False,336
seattle01,Symantec,27471,206.81.81.170,IPv4,,False,False,337
seattle01,Internap,29791,2001:504:16::745f,IPv6,,False,False,304
seattle01,Internap,29791,206.81.80.149,IPv4,,False,False,303
seattle01,Incapsula,19551,206.81.81.178,IPv4,,False,False,342
seattle01,Incapsula,19551,2001:504:16::4c5f,IPv6,,False,False,343
seattle01,RiseUp,16652,206.81.81.74,IPv4,,False,False,346
seattle01,RiseUp,16652,2001:504:16::410c,IPv6,,False,False,347
seattle01,Github,36459,2001:504:16::8e6b,IPv6,,False,False,400
seattle01,Syringa Networks,15305,206.81.80.239,IPv4,,False,False,360
seattle01,Syringa Networks,15305,2001:504:16::3bc9,IPv6,,False,False,361
seattle01,ESnet,293,206.81.81.102,IPv4,,False,False,370
seattle01,ESnet,293,2001:504:16::125,IPv6,,False,False,371
seattle01,CTS Telecom,19653,206.81.81.151,IPv4,,False,False,372
seattle01,CTS Telecom,19653,2001:504:16::4cc5,IPv6,,False,False,373
seattle01,Edgecast,15133,206.81.81.28,IPv4,,False,False,379
seattle01,Edgecast,15133,206.81.80.152,IPv4,,False,False,380
seattle01,Edgecast,15133,2001:504:16::3b1d,IPv6,,False,False,381
seattle01,Edgecast,15133,2001:504:16::284:0:3b1d,IPv6,,False,False,382
seattle01,Cogeco Peer1,13768,206.81.80.38,IPv4,,False,False,383
seattle01,Cogeco Peer1,13768,2001:504:16::35c8,IPv6,,False,False,384
seattle01,Akamai,20940,206.81.80.113,IPv4,,False,False,393
seattle01,Akamai,20940,2001:504:16::51cc,IPv6,,False,False,394
seattle01,Beta IDC,131477,206.81.81.189,IPv4,,False,False,395
seattle01,Beta IDC,131477,2001:504:16::2:195,IPv6,,False,False,396
seattle01,Seattle Internet Exchange,33108,206.81.80.2,IPv4,Route Server 2,False,True,1
seattle01,Github,36459,206.81.81.90,IPv4,,False,False,401
seattle01,Github,36459,2001:504:16::346:0:8e6b,IPv6,,False,False,402
seattle01,NGEN,54721,206.81.83.146,IPv4,,False,False,405
seattle01,NGEN,54721,2001:504:16:1::d5c1,IPv6,,False,False,406
seattle01,Valve,32590,206.81.81.197,IPv4,,False,False,407
seattle01,Valve,32590,2001:504:16::453:0:7f4e,IPv6,,False,False,408
seattle01,ViewQuest,18106,206.81.81.60,IPv4,,False,False,409
seattle01,ViewQuest,18106,2001:504:16::46ba,IPv6,,False,False,410
seattle01,Xplornet Communications Inc,22995,206.81.81.11,IPv4,,False,False,415
seattle01,Xplornet Communications Inc,22995,2001:504:16::59d3,IPv6,,False,False,416
seattle01,Valve,32590,206.81.80.246,IPv4,,False,False,417
seattle01,Valve,32590,2001:504:16::7f4e,IPv6,,False,False,418
seattle01,Spotify,8403,206.81.81.150,IPv4,,False,False,419
seattle01,Spotify,8403,2001:504:16::20d3,IPv6,,False,False,420
seattle01,LS Networks,25899,206.81.80.134,IPv4,,False,False,438
seattle01,LS Networks,25899,2001:504:16::652b,IPv6,,False,False,439
seattle01,"Sureline Broadband, LLC",63069,2001:504:16::f65d,IPv6,,False,False,441
seattle01,"Sureline Broadband, LLC",63069,206.81.81.244,IPv4,,False,False,440
seattle01,AEBC Internet Corp,25668,2001:504:16::6444,IPv6,,False,False,444
ufmg01,Rede Minas Telecom,262805,200.219.139.145,IPv4,,False,False,211
ufmg01,PTT-MG,26162,200.219.139.253,IPv4,Route Server 1,False,True,132
ufmg01,PTT-MG,26162,200.219.139.254,IPv4,Route Server 2,False,True,133
ufmg01,PTT-MG,26162,2001:12f8:0:3::253,IPv6,Route Server 1,False,True,135
ufmg01,PTT-MG,26162,2001:12f8:0:3::254,IPv6,Route Server 2,False,True,136
ufmg01,PTT-MG,20121,200.219.139.252,IPv4,Looking Glass,False,False,131
ufmg01,Rede Nacional de Ensino e Pesquisa (RNP),1916,170.79.214.30,IPv4,Upstream BGP Router,True,False,16
ufmg01,Rede Nacional de Ensino e Pesquisa (RNP),1916,2001:12f0:ffff:0:312:65:214:2a,IPv6,Upstream BGP Router,True,False,445
ufmg01,PTT-MG,20121,2001:12f8:0:3::252,IPv6,Looking Glass,False,False,134
ufmg01,CEMIG Telecom,23106,2001:12f8:0:3::114,IPv6,,False,False,221
ufmg01,CEMIG Telecom,23106,200.219.139.114,IPv4,,False,False,220
ufmg01,DuFibraNet,263478,200.219.139.159,IPv4,,False,False,206
ufms01,Rede Nacional de Ensino e Pesquisa (RNP),1916,2001:12f0:ffff:0:312:65:214:28,IPv6,RNP Upstream,True,False,443
ufms01,Rede Nacional de Ensino e Pesquisa (RNP),1916,170.79.214.28,IPv4,RNP Upstream,True,False,442
utah01,Utah Education Network,210,2001:1948:10ff:fffe::1,IPv6,,True,False,425
utah01,University of Utah,210,140.197.247.226,IPv4,,True,False,191
utah01,University of Utah,210,2001:1948:10ff:fffe::2,IPv6,,True,False,424
uw01,University of Washington,101,209.124.179.37,IPv4,UW at PNW GigaPoP,True,False,181
wisc01,University of Wisconsin - Madison,3128,143.235.40.225,IPv4,UWisc Upstream Router,True,False,184
