BGP Mux,Peer organization,Peer ASN,Peer IP address,IP version,Short description,Transit,Route Server,Session ID
amsterdam01,Apple,714,2001:7f8:1::a500:714:1,IPv6,,False,False,99
amsterdam01,Apple,714,2001:7f8:1::a500:714:2,IPv6,,False,False,100
amsterdam01,Valve,32590,80.249.211.23,IPv4,,False,False,327
amsterdam01,Valve,32590,2001:7f8:1::a503:2590:1,IPv6,,False,False,328
amsterdam01,eBay,62955,80.249.212.124,IPv4,,False,False,329
amsterdam01,eBay,62955,2001:7f8:1::a506:2955:1,IPv6,,False,False,330
amsterdam01,Swisscom,3303,80.249.208.100,IPv4,,False,False,332
amsterdam01,Swisscom,3303,2001:7f8:1::a500:3303:1,IPv6,,False,False,333
amsterdam01,Bit BV,12859,2001:7f8:1::a501:2859:1,IPv6,,True,False,95
amsterdam01,Bit BV,12859,2001:7f8:1::a501:2859:2,IPv6,,True,False,96
amsterdam01,Bit BV,12859,80.249.208.200,IPv4,,True,False,61
amsterdam01,Bit BV,12859,80.249.208.35,IPv4,,True,False,60
amsterdam01,Netwerkvereniging Coloclue,8283,80.249.211.161,IPv4,,True,False,52
amsterdam01,Rubicon Project,26667,80.249.212.237,IPv4,,False,False,338
amsterdam01,Rubicon Project,26667,2001:7f8:1::a502:6667:2,IPv6,,False,False,339
amsterdam01,Omantel,8529,80.249.208.30,IPv4,,False,False,340
amsterdam01,Omantel,8529,2001:7f8:1::a500:8529:1,IPv6,,False,False,341
amsterdam01,Amatis,34442,80.249.211.110,IPv4,,False,False,344
amsterdam01,Amatis,34442,2001:7f8:1::a503:4442:1,IPv6,,False,False,345
amsterdam01,Arvato Systems,33873,80.249.208.178,IPv4,,False,False,348
amsterdam01,Arvato Systems,33873,2001:7f8:1::a503:3873:1,IPv6,,False,False,349
amsterdam01,Prolocation,41887,80.249.210.128,IPv4,,False,False,350
amsterdam01,Prolocation,41887,2001:7f8:1::a504:1887:1,IPv6,,False,False,351
amsterdam01,MTN South Africa,16637,80.249.208.117,IPv4,,False,False,352
amsterdam01,MTN South Africa,16637,2001:7f8:1::a501:6637:2,IPv6,,False,False,353
amsterdam01,Korton Internet BV,58138,80.249.209.189,IPv4,,False,False,354
amsterdam01,Korton Internet BV,58138,2001:7f8:1::a505:8138:1,IPv6,,False,False,355
amsterdam01,Netwerkvereniging Coloclue,8283,2001:7f8:1::a500:8283:1,IPv6,,True,False,94
amsterdam01,Meanie,31019,80.249.211.199,IPv4,,False,False,113
amsterdam01,Hostopia,9115,80.249.209.127,IPv4,,False,False,316
amsterdam01,SIDN,48283,80.249.210.151,IPv4,,False,False,364
amsterdam01,SIDN,48283,2001:7f8:1::a504:8283:1,IPv6,,False,False,365
amsterdam01,IDnet,12496,80.249.208.141,IPv4,,False,False,366
amsterdam01,IDnet,12496,2001:7f8:1::a501:2496:1,IPv6,,False,False,367
amsterdam01,Akamai,20940,80.249.211.233,IPv4,,False,False,368
amsterdam01,Akamai,20940,2001:7f8:1::a502:940:3,IPv6,,False,False,369
amsterdam01,Meanie,31019,2001:7f8:1::a503:1019:1,IPv6,,False,False,114
amsterdam01,Amsterdam Internet Exchange,1200,80.249.208.1,IPv4,Administrative LAN,False,False,18
amsterdam01,OJSC MegaFon,31133,80.249.208.125,IPv4,,False,False,19
amsterdam01,EdgeCast,15133,80.249.208.151,IPv4,,False,False,20
amsterdam01,stel,56550,80.249.211.113,IPv4,,False,False,374
amsterdam01,stel,56550,2001:7f8:1::a505:6550:1,IPv6,,False,False,375
amsterdam01,Edgecast,15133,80.249.209.162,IPv4,,False,False,376
amsterdam01,Edgecast,15133,2001:7f8:1::a501:5133:2,IPv6,,False,False,377
amsterdam01,Edgecast,15133,2001:7f8:1::a501:5133:1,IPv6,,False,False,378
amsterdam01,Akamai,20940,80.249.208.168,IPv4,,False,False,21
amsterdam01,SG.GS Singapore,24482,80.249.210.153,IPv4,,False,False,119
amsterdam01,SG.GS Singapore,24482,2001:7f8:1::a502:4482:1,IPv6,,False,False,120
amsterdam01,Dial Telecom,29208,80.249.208.172,IPv4,,False,False,22
amsterdam01,InterBox Internet,16298,80.249.208.183,IPv4,,False,False,23
amsterdam01,AMPATH,20080,80.249.209.218,IPv4,,False,False,123
amsterdam01,Opteamax,48200,80.249.211.172,IPv4,,False,False,385
amsterdam01,Opteamax,48200,2001:7f8:1::a504:8200:1,IPv6,,False,False,386
amsterdam01,Nexellent,31424,80.249.208.118,IPv4,,False,False,387
amsterdam01,Nexellent,31424,2001:7f8:1::a503:1424:1,IPv6,,False,False,388
amsterdam01,Geant,21320,80.249.210.137,IPv4,,False,False,389
amsterdam01,Geant,21320,2001:7f8:1::a502:1320:1,IPv6,,False,False,390
amsterdam01,Jaguar Network,30781,80.249.209.239,IPv4,,False,False,391
